Date,Format,Match,Toss_Win,Decision,Winner,Win_Score,Loss_Score,Winner PP,Loser PP,winner PP wicket,Loser PP wicket,Win_Team_Wicket,Loss_Team_Wicket,Win_Team_played overs,Loss_Team_played_overs,
5-Jul,ODI,SL vs BAN,BAN,Bat,BAN,268,252,55,45,1,1,7,10,50,48.3,
2-Jul,ODI,SL vs BAN,SL,Bat,SL,295,218,62,38,0,2,5,10,50,42.1,
14-Feb,ODI,SL vs AUS,AUS,Bowl,AUS,240,238,58,42,1,2,6,9,46.2,50,
12-Feb,ODI,SL vs AUS,SL,Bat,SL,275,243,50,55,1,2,8,10,50,47.5,
7-Aug,ODI,SL vs IND,SL,Bat,SL,248,138,54,46,0,2,7,10,50,26.1,
4-Aug,ODI,SL vs IND,SL,Bat,SL,240,208,42,58,1,0,9,10,50,42.2,
2-Aug,ODI,SL vs IND,SL,Bat,TIED,230,230,37,52,1,1,8,10,50,47.5,
11-Jan,ODI,SL vs ZIM,ZIM,Bat,SL,97,96,45,28,1,3,2,10,16.4,22.5,
8-Jan,ODI,SL vs ZIM,ZIM,Bat,SL,211,208,48,38,3,2,8,10,49,44.4,
17-Sep,ODI,IND vs SL,SL,Bat,INDÊ,51,50,51,17,0,6,0,10,6.1,15.2,
15-Sep,ODI,IND vs BAN,IND,Bowl,BAN,265,259,44,44,2,2,8,10,50,49.5,
14-Sep,ODI,SL vs PAK,PAK,Bat,SL,252,252,56,35,1,1,8,7,42,42,
12-Sep,ODI,SL vs IND,IND,Bat,IND,213,172,46,39,0,3,10,10,49.1,41.3,
10-Sep,ODI,IND vs PAK,PAK,Bowl,IND,356,128,61,38,0,1,2,10,50,32,
9-Sep,ODI,SL vs BAN,BAN,Bowl,SL,257,236,52,47,1,2,9,10,50,48.1,
24-Jun,ODI,SL vs AUS,SL,Bat,AUS,164,160,30,34,1,3,6,10,39.3,43.1,
21-Jun,ODI,SL vs AUS,AUS,Bowl,SL,258,254,35,40,3,2,10,10,49,50,
19-Jun,ODI,SL vs AUS,AUS,Bat,SL,292,291,56,47,1,2,4,6,48.3,50,
7-Sep,ODI,SL vs SA,SL,Bat,SL,203,125,54,42,1,3,9,10,50,30,
4-Sep,ODI,SL vs SA,SA,Bat,SA,283,197,50,45,1,2,6,10,47,36.4,
23-Jul,ODI,SL vs IND,IND,Bat,SL,227,225,48,60,1,2,7,10,39,43.1,
20-Jul,ODI,SL vs IND,SL,Bat,IND,277,275,65,52,1,0,7,9,49.1,50,
18-Jul,ODI,SL vs IND,SL,Bat,IND,263,262,91,55,0,1,3,9,36.4,50,
31-Jul,ODI,SL vs BAN,SL,Bat,SL,294,172,36,41,1,2,8,10,50,36,
28-Jul,ODI,SL vs BAN,BAN,Bat,SL,242,238,69,35,0,2,3,8,44.4,50,
26-Jul,ODI,SL vs BAN,SL,Bat,SL,314,223,77,36,1,3,8,10,50,41.4,
23-Oct,ODI,SL vs ENG,SL,Bat,SL,366,132,72,41,0,4,6,9,50,26.1,
12-Aug,ODI,SL vs SA,SL,Bat,SL,299,121,64,48,0,4,8,10,50,24.4,
3-Sep,ODI,SL vs IND,SL,Bat,IND,239,238,46,42,2,1,4,10,46.3,49.4,
31-Aug,ODI,SL vs IND,IND,Bat,IND,375,207,76,38,1,3,5,10,50,42.4,
24-Aug,ODI,SL vs AUS,SL,Bat,SL,288,206,52,40,1,2,10,10,48.5,47.2,
21-Aug,ODI,SL vs AUS,AUS,Field,AUS,228,227,45,41,2,2,7,8,46.5,50,
4-Nov,ODI,SL vs WI,WI,Bat,SL,225,214,60,40,1,1,2,10,36.3,37.4,
1-Nov,ODI,SL vs WI,SL,Bowl,SL,163,159,46,35,1,2,9,8,24.5,26,
22-Jul,ODI,SL vs PAK,SL,Bat,PAKÊ,257,256,55,50,1,1,3,9,40.5,50,
19-Jul,ODI,SL vs PAK,PAK,Bat,PAKÊ,316,181,45,40,1,3,4,10,50,41.1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
